Name,Meaning
Òkìkíìmọ́lẹ̀,The fame of light.
Ògúntìmílẹ́hìn,Ogun supports/backs me.
Olúwáṣèyí,God did this.
Olúrọ́pò,God replaces.
Ọmọ́báredé,Child comes with kindness/gifts.
Ògúntìmílẹ́yìn,Ogun supports/backs me.
Ọ̀gúntìmẹ́yìn,Ògún supports me.
Olúwadùnsìn,It is sweet to worship God.
Ọdúnayọ̀,The festival of joy. The year of joy. Celebration of joy.
Ọlánrewájú,Wealth is advancing.
Oríàdé,The head of wealth (crown).
Oyèníyì,Honor has dignity.
Oyèbọ́lá,Honor meets wealth.
Ọ̀pádoyin,The Ọ̀pá deity is sweet/pleasurable.
Odùlánà,Odù has cleared the path.
Odùgadé,Odu has ascended the throne.
Omíyalé,The river god(dess) stopped by the house. A Yemọja priestess has reincarnated.
Ọlákìítán,Wealth does not finish.
Ọmọ́yẹni,Child befits one.
Ọmọ́ríléwá,The child has found a home to come to.
Òkikíadé,The fame of the crown.
Ọkánlàwọ́n,The only male child among the female children.
Ọlátidoyè,Wealth has become a title.
Ọlátẹ̀lémi,Wealth has followed me.
Ọlátẹ̀míná,"I deserve wealth.

[verification needed]"
Olúwataramisore,The lord used my body to do good.
Oṣóyínká,"1. I'm surrounded by sorcerers.
2. I'm surrounded by the god of the harvest (Òrìṣà oko)"
Ọrẹ,Gift.
Olúwatófúnmi,My God is sufficient for me.
Okúnróunmú,[unknown]
Òkúnnú,[unknown]
Olúkúnmi,The lord has added to/fills me.
Ọlájùgbé,Wealth cannot be carried.
Ọmọ́bọ́láńlé,Born into wealth.
Ọlásùpò,Wealth has gathered together.
Ọmọ́làjà,The child settled the quarrel.
Ọbádèyí,The king becomes this.
Owóyẹmí,"1. I deserve to be wealthy.
2. Wealth fits/suits me."
Ọlámidipúpọ̀,My joy has multiplied.
Olúwẹ̀mimọ́,The lord washes me clean.
Omítówojú,"Water is enough to see the face.
[verification needed]"
Olúkẹ́yẹdé,The lord has brought honour.
Olúwatitómi,I'm content with the lord.
Ọbásọmídọtun,The king renewed me.
Oníbùdó,The owner of the settlement.
Ọlásùnḿbọ̀,Wealth/nobility suits me.
Ọnàbẹ̀kun,[unknown]
Òní,Today.
Ọ̀súngboyè,Ọ̀sun receives an honour.
Ọmọ́bọlájí,The child woke up with wealth.
Ọladégà,Honour has arrived in the palace.
Ọnàbánjí,Artistry woke up with me.
Ọláídé,"Wealth rolled in.
[Shortened form of ""Ọláyídé"""
Ọláyídé,Wealth rolled in.
Olúfìjàbí,Born out of a struggle.
Olúgbòde,The lord is in town.
Ọlásúnkànmí,It's my turn to be wealthy.
Ọlásúnmádé,Wealth draws closer to the crown.
Ọ̀ṣínáìkè,The sorcerer became famous.
Ọlátúnpọ̀,Wealth is plenty again.
Ọlábánjí,Joy wakes up with me.
Ògúngbẹ̀san,Ògún revenged.
Olúwashínà,The Lord has paved a way.
Oláolúwatóní,The mercies of the Lord are enough.
Olúwabùnmi,The lord gave me.
Ọmọ́jọmí,My child is like (resembles) me.
Oyèlají,"We've woken up honour.
[verification needed]"
Ọ̀sọbà,[unknown]
Oyèkúnlé,There's plenty honour at home.
Oyèdàpọ̀,Honour mixes up.
Ọmọ́worarẹ̀,The child looks after itself.
Olúwatìmílẹ́yìn,The lord support me.
Okùríbidó,The god of wealth has found a place to rest.
Ọmọtórera,My child is enough to show off.
Ọmọmitórera,My child is enough to show off.
Ọmọ́tómirera,This child is enough for me to show off.
Òdeajé,The outing of resourcefulness.
Ọ̀túnba,The right-hand person of the king.
Ògúnfuwà,Ogún is of good behaviour.
Olúfúnmiláyọ̀,The lord gave me joy.
Ọ̀nàọlámipọ̀,The ways of my wealth are many.
Ọláyísádé,Success has turned into royalty.
Olúwatanáayọ̀,God has put on a light of joy.
Ògúntibẹ̀jù,Ògún used that to become greater.
Ọládùnmádé,Wealth is sweet with the crown.
Ọjọ́awo,The day of the oracle.
Ọmọ́ríresọ́lá,The child sees goodness in wealth.
Ọlániwún,(This family of nobility) has someone to rejoice over.
Ọ̀nàọláṣí,The path to wealth opened.
Osótìmẹ́yìn,The sorcerer backs me.
Oríowó,The head of wealth.
Orílowó,The head is money.
Orídọlà,The head becomes wealth.
Ọlámilékan,My wealth/worth/success/nobility has increased by one.
Òkìtì,Mound.
Owónikókó,Money is paramount.
Òkèọnà,Art hill.
Olúmorótì,I stand with God. I stand with the prominent one. God is whom I'm standing with. I rely on God.
Ọrẹ́méjì,Two friends.
Ọ̀rẹ́táyọ̀,Friends are/Friendship is worth joy.
Oyèrínmáyọ̀,Honour walks with joy.
Olúlànà,The lord clears the path.
Oyèlànà,Honour has opened the way/cleared the path.
Ọlápéjú,Wealth has gathered.
Ọlájíre,(The child of) nobility woke up well.
Ọláònípẹ̀kun,Wealth has no end.
Olúnlọ́yọ́,He is a lord at Ọ̀yọ́.
Ọnàlésì,Artistry has a response.
Ọdún,Festival.
Oyèọlá,The honour of wealth.
Ọdẹ́yẹmí,I'm worthy of being a hunter.
Ọrànmíyàn,The child has chosen to be controversial.
Ọmọlúmọ,"The child of Olúmọ Rock.
[verification needed]"
Ògìdán,The leopard. Also àmọ̀tẹ́kùn.
Oyèṣọlá,"Honour creates wealth, or Honour created wealth"
Ògúnpéjú,Ògún gathered faces.
Ojúọlámipé,"A different way of writing ""Ojúọlapé""."
Olúwadùnjoyinlọ,The lord is sweeter than honey.
Ọmọtánwá,The child we're looking for.
Ọmọ́ṣaléwá,The child selected this house to come to.
Olúsílé,The lord opened/commissioned the house.
Olútófaratì,The lord is worth relying on.
Olúwasúnmiládé,The lord adjusted my crown.
Ọláwámiwá,Wealth has sought me out.
Ojúróngbé,"Another way of writing ""Ojúroungbé"": The eyes find this to carry."
Ọdẹ́yínká,Hunters surround me.
Olówóòfóyèkù,The rich do not belittle honour/chieftaincy.
Ọ̀jẹ́wuyì,The masquerade is honourable.
Ọládiyùn,Wealth becomes a treasure.
Ọlọ́fà,"1. The king of Ọ̀fà/The owner of Ọ̀fà
2. The owner of arrows."
Odùwáíyé,Odù came into the world.
Ògúntóyìnbó,Ògún is worth praising.
Oyèdòkun,Honour has become as big as the ocean.
Ọmọ́tọ́lání,The child is old/prominent/important enough to have wealth.
Ọ̀tẹ̀ṣílé,Conspiracy built the house.
Olúwadípẹ̀,The lord restores.
Olúwalaní,The lord is what we have.
Ọláníyọnu,Wealth has problems.
Ọjọrá,A gathering of Alara's people.
Ọmọtáyébí,The world's child.
Ọdẹ́jinmí,The hunter favours me.
Òjíkùtù,One who wakes up early.
Onílogbo,[unknown]
Oyèmádé,Honour picks a crown.
Ògúnsínà,Ogun cleared the path.
Olúdáre,The lord justifies. (Short for Olúwadáre)
Olúwagbèmí,The lord favours me.
Olúwadáre,The lord justifies.
Olúwadámiláre,The lord justifies me.
Onítìjú,"1. The shy one.
2. The self-conscious one."
Ọ̀jẹ̀dòkun,The masquerade becomes huge as the ocean.
Olúkóredé,The lord brings gifts.
Olówóyọ̀,The rich rejoice.
Odùfóyè,"1. Odù married honour.
2. Odù wants honour."
Olúgbódi,One with six fingers.
Olówólàgbà,The rich is the bigger.
Ọdẹ́kúnbi,[unknown]
Olúdárasími,The lord is good to me.
Olówóayé,The world's rich man.
Ògúnjọbí,Birthed by Ògún together.
Ogúngbọlá,Wars have taken the wealth.
Ọmọ́kẹ́hìndé,The child came second/last.
Ọ̀sunbùnmi,Ọsun gifted me.
Olúyẹdún,The lord befits the year.
Ọ̀súngbẹ́kún,Ọ̀sun heard (our) cry.
Ògbóríẹfọ̀n,One who carries a buffalo head.
Ọ̀súndínà,Ọ̀sun blocked the way.
Ọdẹ́rìnlọ,The hunter walked away.
Oyèsílé,Honour opened the house.
Ọdúnìtàn,"The year, festival, of stories, of history."
Ọmọ́là,The child survives.
Olúwalósèyí,God is the one who did this.
Olúwasèyítán,The lord did this all.
Olúkórewá,The lord brought goodness.
Omítórera,Water is enough for pleasure.
Ọlákànmí,Wealth has reached me.
Òrìṣàgúnà,The Òrìsà makes the path straight.
Ògúnnọ́wọ̀,Ògún has respect.
Owóselà,Money-caused success.
Olókèdé,The owner of the hill arrived.
Olúwabùkúnmi,"1. I am blessed by the lord.
2. The lord added unto me"
Ọlásùḿbọ̀,Wealth fits me.
Ọláọ̀rẹ́,The wealth/advantage of friends.
Ọlágòkè,"Wealth ascended, increased."
Ọmọ́dọlápọ̀,The child has added more honour.
Owóẹ̀yẹ,The money for honour. Honourable money.
Oshótìmẹ́yìn,The sorcerer (Oṣó) or 'Òrìṣà Oko' supports me.
Oṣótìmẹ́hìn,The sorcerer backs me.
Ọláyọrí,Wealth triumphed.
Ọládẹ̀jọ,Wealth becomes eight.
Ọláfare,Wealth pulls goodness.
Olúwanbẹ,The lord remains/exists.
Ọlátọ̀nà,"1. Wealth walked the (right) path.
2. Wealth is proper."
Oyètọ́ṣọ́,Honour is worth beauty.
Oyètọ́shọ́,Honour is worth beauty.
Ògúntúàṣe,Ògún repaired character.
Ọmọ́yájowó,The child is better than money.
Ògúntúnwàṣe,Ògún repairs character.
Òguntúwàṣe,Ògún repairs character.
Ọdúnsì,[unknown]
Ọ̀rẹ́dẹ̀ìn,Friendship is forever.
Ọ̀ṣìnúgà,The king has a royal compound.
ọ̀rẹ́dẹ̀hìn,Friendship is forever
Ọ̀rẹ́dẹ̀yìn,Friendship is forever.
Olúmúrewá,The lord brought goodness.
Omiyọrí,Water triumphs.
Oyèbámjí,Honour woke up with me.
Ògunsan,Ògún pays.
Ọláyọkùn,Wealth grew.
Ògúnbáyọ̀dé,Ogun came with joy.
Olúwasúji,The lord cast his shadow.
Olúwatẹ́tísími,The lord listens to me.
Olówóràrán,The rich bought clothes of velvet.
Ọláòṣebìkan,Wealth isn't localised to just one place.
Ọmọlàbákẹ́,The child is one we ought to cherish.
Ọládipọ̀,Wealth becomes many.
Ọlamidiméjì,My wealth is doubled.
Ọlájídé,Wealth arose/awoken to come.
Ọ̀pábùnmi,The sacred rod gave me.
Ọládèjì,Wealth becomes two.
Ọmọ́ṣeékẹ́,The child is worth pampering.
Ọmọgbénjó,The/a child is causing me to dance; A child is making me dance
Ògúnṣọlá,Ogun makes wealth.
Olúwatómi,The lord is sufficient for me.
Olúwáṣeun,The lord has done something (good).
Ọlábóyè,Wealth meets chieftaincy.
Oṣóyẹ̀lú,The town deserves a sorcerer.
Olúwafúnmiláyọ̀,God give(s) me joy.
Olúwagbatèmirò,God has thought of me.
Ọlámijùlọ,My wealth exceeds most of all.
Olúbùnmi,God gifted me.
Ọlájùwọ̀n,Wealth is bigger than them (the enemies).
Ọláwúwo,Wealth is heavy.
Òdòdó,Flower.
Ọ̀wọ̀adé,The respect of the crown.
Ọlámidùnsi,My wealth continues to be sweet.
Ọmọ́wùmí,I am desirous of the child.
Olúwatóyin,The lord is worthy of praise.
Ọmọ́táyọ̀,The child equates to joy.
Olúwabùkọ́lá,God has added to wealth.
Olúwatúremijáde,The lord has brought out my goodness.
Olúwatóyọ̀sí,God is worthy/sufficient to rejoice unto.
Olúwatódìmú,"God is worth holding onto.
God is worthy of being held onto."
Olúnímilọ́kàn,God has me in mind.
Olúmúgbàṣẹ,God made his time or will done.
Olúwatọ́ba,God is king enough. God is a worthy king.
Ọmọ́bẹ́mìlẹ́numi,The child met me still breathing.
Olúwafúntọ́,"One given by the lord to raise, look after."
Ògúnníyì,Ògún has honor/value.
Ọbátẹ́rù,The king is worth being feared.
Oyèbándé,Honour arrives with me.
Ọláwọyè,Wealth enters the title.
Olúbìyọ̀,"One given birth to, with joy, by the prominent one."
Olúwajọmílójú,The lord amazed/surprised me.
Ọ̀páyẹmí,The staff/authority is befitting of me.
Ògúndìran,The Ògún deity is multigenerational.
Olúfisáyọ̀,The lord has added to joy.
Olúwafọlábòmí,God covered me with wealth.
Olúyọmí,The lord saved me.
Olúwafọresími,God pronounced goodness to me.
Ọmọlaráẹni,The child is the relative of the person.
Olúwabítàn,A story made by the lord.
Olúwatọ́baójuọbalọ,"""God is the King of kings"" or ""God is KING and greater than kings."""
Olúwaṣemílóre,The lord has been gracious to me.
Olúwakóredé,The lord has brought goodness.
Olúwatóbẹ̀rù,God is worthy to be revered.
Ọbáfẹ́wa,God loves us.
Odùkálé,The Ifa corpus surrounds my home.
Ọbáyọmí,The king delivered me.
Olúwaṣayọ̀,God has made joy.
Ọlátawurá,Wealth has sold off gold.
Olúwakíyèsími,God notices me.
Olúwadámisí,God spared me.
Ọládiwúrà,Wealth turns into gold.
Olúkọ́gà,The lord builds the throne.
Olújìnmí,The head entrusted me.
Olújìmí,The lord entrusts me.
Ògúndámisí,Ògún spared me.
Ọbámuyìdé,"1. The king brought this. 
2. The king that brought value/honour."
Omitọ̀nàdé,Water returned from a journey.
Oṣ̀àlúsì,The Òrìṣà has fame/reputation.
Oshàlúsì,The Òrìṣà has fame.
Òsàrẹ̀mí,Òrìṣà consoled me.
Òkètóògùn,The hill suffices for medicine. [verification needed]
Ọlátìmí,Wealth is with me.
Ọlátúnbọ̀sún,Wealth continues to expand.
Olúyẹ́misí,The lord honours me.
Olúwayẹ́misí,The lord honours me.
Olúwafisáyọ̀,God added to happiness/joy.
Okùsẹ̀hìndé,Resourcefulness had our back.
Òkìkíọlá,The herald of wealth/success.
Ọrẹ̀sànyà,The deity Ọrẹ̀ paid (my) suffering.
Olúwabùsúyì,The lord has added to my value.
Ọmọ́wálé,The child has come home.
Ọláolúwatómi,The wealth of the lord is enough for me.
Olágbénró,Wealth upheld me.
Olúbùsúyì,The lord adds to value.
Olúgbénró,The lord supports me.
Ọpẹ́yẹmí,"1. I should be grateful. 
2. Thanksgiving suits me."
Ọmọbóníkẹ́,A child meets a person who cares.
Ọlọ́rundá,One created by God.
Ọlọ́runwà,There is god.
Olúwabùsọ́lámi,God has added to my wealth.
Ọmọ́désíre,Child has come into goodness.
Ọ̀rọ̀olúwakìíyẹ̀,The word of the lord never fails.
Òkìkíolúwa,The fame of God.
Odùpìtàn,The Odù tells stories.
Oyínsan,Sweetness is preferred.
Olúdayọ̀,"1. Prominence has turned into joy.
2. God has turned into joy."
